"","X","OrganismList","Limb_width","Limb_length","ObserverList","limb_vol"
"33",33,"Cynops pyrrhogaster",3.48640479892492,9.51237201690674,"Don Henley",90.7640998251503
"34",34,"Ambystoma mexicanum",3.82500570546836,31.7050162795931,"Joe Walsh",364.134486289709
"35",35,"Ambystoma maculatum",4.48427329398692,34.5559899229556,"Don Henley",545.477876343994
"36",36,"Ambystoma mexicanum",11.2113520344719,44.1375383920968,"Glenn Frey",4355.05600379856
"37",37,"Pseudotriton ruber",13.7203451986425,17.7534098550677,"Joe Walsh",2623.5026815341
"38",38,"Pseudotriton ruber",8.00009789317846,25.7316101808101,"Don Henley",1292.78773367826
"39",39,"Pseudotriton ruber",10.494379804004,28.0864690989256,"Joe Walsh",2428.17709133305
"40",40,"Ambystoma mexicanum",7.34541165130213,34.0518649294972,"Don Henley",1442.25760558738
"41",41,"Ambystoma tigrinum",2.3498838506639,17.0367863494903,"Glenn Frey",73.8499366584967
"42",42,"Pseudotriton ruber",1.69937571324408,12.7724579162896,"Don Henley",28.954958817319
"43",43,"Ambystoma mexicanum",13.1264520809054,21.8426954280585,"Glenn Frey",2954.40889200859
"44",44,"Ambystoma tigrinum",1.37618763325736,14.8449551686645,"Don Henley",22.0700770237319
"45",45,"Cynops pyrrhogaster",4.08023365307599,17.0207571145147,"Joe Walsh",222.442925511192
"46",46,"Ambystoma maculatum",7.85722940973938,37.7162379492074,"Joe Walsh",1827.83458654593
"47",47,"Ambystoma maculatum",4.48808553442359,9.0759411919862,"Don Henley",143.510467847417
"48",48,"Cynops pyrrhogaster",2.83690682705492,11.6807300038636,"Glenn Frey",73.795484272748
"49",49,"Cynops pyrrhogaster",10.5030068000779,18.937808945775,"Joe Walsh",1639.93517413236
"50",50,"Ambystoma mexicanum",11.2056641480885,6.80658563971519,"Joe Walsh",670.925306902619
"51",51,"Cynops pyrrhogaster",1.35796698182821,29.4393649324775,"Joe Walsh",42.6163759285658
"52",52,"Ambystoma tigrinum",4.75244846520945,40.9856985509396,"Joe Walsh",726.669329837296
"53",53,"Pseudotriton ruber",3.03807298326865,30.9978047013283,"Don Henley",224.593405183978
"54",54,"Pseudotriton ruber",12.0591056104749,40.2210007794201,"Don Henley",4591.48031263698
"55",55,"Cynops pyrrhogaster",7.34352993918583,13.4751021303236,"Don Henley",570.441957912005
"56",56,"Pseudotriton ruber",7.31323676928878,10.6258806213737,"Don Henley",446.122222832211
"57",57,"Cynops pyrrhogaster",6.56663235649467,25.9950806573033,"Joe Walsh",879.926162548981
"58",58,"Ambystoma maculatum",1.74170405277982,18.2958363741636,"Joe Walsh",43.5683034791272
"59",59,"Ambystoma mexicanum",1.56295850174502,32.7631171792746,"Don Henley",62.8274981740229
"60",60,"Ambystoma tigrinum",4.46430916478857,20.6767334509641,"Joe Walsh",323.489442800974
"61",61,"Ambystoma tigrinum",3.54395132279024,17.9711638763547,"Don Henley",177.182717137541
"62",62,"Pseudotriton ruber",10.3367298156954,14.3715847842395,"Glenn Frey",1205.42625785613
"63",63,"Ambystoma mexicanum",9.1474969307892,10.4099589586258,"Glenn Frey",683.790745850054
"64",64,"Cynops pyrrhogaster",14.9522125967778,35.7539170328528,"Joe Walsh",6274.86247001869
"65",65,"Ambystoma mexicanum",9.72255506133661,13.6511345207691,"Joe Walsh",1012.97616281699
"66",66,"Ambystoma mexicanum",11.7272009141743,23.9314268436283,"Glenn Frey",2583.6101442797
"67",67,"Ambystoma tigrinum",13.2827007481828,43.4036325197667,"Joe Walsh",6011.3015067237
"68",68,"Ambystoma mexicanum",5.40135120600462,27.7955402992666,"Don Henley",636.575047104598
"69",69,"Ambystoma mexicanum",1.63186811842024,32.3600772861391,"Glenn Frey",67.6471216663276
"70",70,"Pseudotriton ruber",14.7704954571091,43.0336146522313,"Joe Walsh",7370.00207561059
"71",71,"Ambystoma maculatum",12.8960288604721,17.8459067456424,"Joe Walsh",2329.80873256661
"72",72,"Cynops pyrrhogaster",5.8268337068148,28.3571025542915,"Joe Walsh",755.782372250274
"73",73,"Ambystoma tigrinum",11.4613800100051,20.8175131306052,"Joe Walsh",2146.70480417433
"74",74,"Ambystoma tigrinum",7.51212659291923,44.9416078161448,"Glenn Frey",1990.87529864884
"75",75,"Ambystoma mexicanum",2.42388064973056,6.29147471860051,"Glenn Frey",29.0164699089147
"76",76,"Ambystoma mexicanum",3.2085971175693,17.0189471822232,"Don Henley",137.5411734461
"77",77,"Cynops pyrrhogaster",11.2052944214083,28.7176292203367,"Don Henley",2830.51059646113
"78",78,"Pseudotriton ruber",9.00077107083052,8.07533415965736,"Don Henley",513.55810894049
"79",79,"Ambystoma maculatum",12.1183532238938,35.7511666044593,"Joe Walsh",4121.42203652443
"80",80,"Ambystoma tigrinum",9.26736321626231,34.9863470811397,"Don Henley",2358.74301094172
"81",81,"Ambystoma mexicanum",11.5900440048426,26.7626941110939,"Joe Walsh",2822.08218250462
"82",82,"Cynops pyrrhogaster",11.4864425184205,10.6092325039208,"Don Henley",1098.81533327877
"83",83,"Ambystoma tigrinum",14.9203461408615,12.75027169846,"Don Henley",2228.16266643824
"84",84,"Ambystoma maculatum",9.29431940289214,38.5524725820869,"Don Henley",2614.30997464086
"85",85,"Ambystoma mexicanum",10.4423422128893,10.050006210804,"Joe Walsh",860.264160682242
"86",86,"Ambystoma tigrinum",12.3265543798916,34.401236679405,"Joe Walsh",4103.24173970972
"87",87,"Pseudotriton ruber",12.740482551977,17.924154130742,"Don Henley",2283.91576017324
"88",88,"Ambystoma maculatum",6.48137008072808,27.977893743664,"Joe Walsh",922.610330708724
"89",89,"Ambystoma mexicanum",7.29529888415709,28.4782691020519,"Glenn Frey",1189.78756344058
"90",90,"Cynops pyrrhogaster",3.91774567775428,38.5806641262025,"Don Henley",464.848930770196
"91",91,"Ambystoma tigrinum",10.7536811209284,15.3676642570645,"Glenn Frey",1395.05660259041
"92",92,"Pseudotriton ruber",9.98157888604328,32.1838438510895,"Glenn Frey",2517.13237803351
"93",93,"Ambystoma tigrinum",12.1460280022584,37.7839019335806,"Don Henley",4375.67460280215
"94",94,"Pseudotriton ruber",5.07924729818478,21.0308035742491,"Glenn Frey",425.916279757807
"95",95,"Ambystoma maculatum",2.29928411450237,11.8976977653801,"Don Henley",49.3762231192145
"96",96,"Pseudotriton ruber",9.75808449275792,41.785900015384,"Don Henley",3123.40690433519
"97",97,"Ambystoma tigrinum",6.21863763593137,21.1732962261885,"Glenn Frey",642.759689347504
"98",98,"Ambystoma tigrinum",11.4669270510785,34.9040430504829,"Don Henley",3602.7945053764
"99",99,"Ambystoma maculatum",5.0385430296883,38.8088238146156,"Glenn Frey",773.410530735216
"100",100,"Pseudotriton ruber",10.3790475940332,40.6295668892562,"Glenn Frey",3435.79193906592
